City,State,ID,Population of City,Count
Brookwood,AL,2,1932,1
Broomtown,AL,2,160,1
Brundidge,AL,2,2189,1
Bucks,AL,2,50,1
Butler,AL,2,2360,1
Calera,AL,2,12593,1
Calvert,AL,2,394,1
Camden,AL,2,2721,1
Camp Hill,AL,2,1051,1
Carbon Hill,AL,2,1739,1
Cardiff,AL,2,30,1
Carlisle-Rockledge,AL,2,2910,1
Carlton,AL,2,74,1
Carolina,AL,2,285,1
Carrollton,AL,2,922,1
Castleberry,AL,2,543,1
Catherine,AL,2,20,1
Cedar Bluff,AL,2,2017,1
Center Point,AL,2,16797,1
Centre,AL,2,3570,1
Centreville,AL,2,2719,1
Chatom,AL,2,1006,1
Chelsea,AL,2,11386,1
Cherokee,AL,2,850,1
Chickasaw,AL,2,6005,1
Childersburg,AL,2,5105,1
Choccolocco,AL,2,2279,1
Chunchula,AL,2,136,1
Citronelle,AL,2,3886,1
Clanton,AL,2,8715,1
Clay,AL,2,9682,1
Clayhatchee,AL,2,441,1
Clayton,AL,2,2947,1
Cleveland,AL,2,1206,1
Clio,AL,2,856,1
Coaling,AL,2,1808,1
Coats Bend,AL,2,1842,1
Coffee Springs,AL,2,264,1
Coffeeville,AL,2,383,1
Coker,AL,2,819,1
Collinsville,AL,2,2104,1
Colony,AL,2,345,1
Columbia,AL,2,680,1
Columbiana,AL,2,4176,1
Concord,AL,2,2044,1
Coosada,AL,2,1374,1
Cordova,AL,2,2074,1
Cottondale,AL,2,3702,1
Cottonwood,AL,2,1438,1
County Line,AL,2,187,1
Courtland,AL,2,592,1
Cowarts,AL,2,2071,1
Creola,AL,2,1842,1
Crossville,AL,2,2312,1
Cuba,AL,2,509,1
Cullman,AL,2,15014,1
Cullomburg,AL,2,117,1
Cusseta,AL,2,151,1
Dadeville,AL,2,3181,1
Daleville,AL,2,5188,1
Daphne,AL,2,23559,1
Dauphin Island,AL,2,1319,1
Daviston,AL,2,271,1
Dayton,AL,2,25,1
Deatsville,AL,2,1218,1
Decatur,AL,2,55598,1
Deer Park,AL,2,203,1
Delta,AL,2,259,1
Demopolis,AL,2,7249,1
Detroit,AL,2,215,1
Dodge City,AL,2,714,1
Dora,AL,2,2295,1
Dothan,AL,2,67708,1
Double Springs,AL,2,1180,1
Douglas,AL,2,1024,1
Dozier,AL,2,307,1
Dunnavant,AL,2,984,1
Dutton,AL,2,331,1
East Brewton,AL,2,2508,1
East Point,AL,2,151,1
Eclectic,AL,2,912,1
Edgewater,AL,2,905,1
Edwardsville,AL,2,137,1
Egypt,AL,2,1254,1
Elba,AL,2,3919,1
Elberta,AL,2,1506,1
Eldridge,AL,2,204,1
Elkmont,AL,2,430,1
Elmore,AL,2,1671,1
Emelle,AL,2,38,1
Emerald Mountain,AL,2,2895,1
Enterprise,AL,2,27785,1
Epes,AL,2,137,1
Ethelsville,AL,2,99,1
Eufaula,AL,2,12809,1
Eunola,AL,2,421,1
Eutaw,AL,2,2834,1
Eva,AL,2,552,1
Evergreen,AL,2,3842,1
Excel,AL,2,1019,1
Fairfield,AL,2,10987,1
Fairford,AL,2,85,1
Fairhope,AL,2,17309,1
Fairview,AL,2,483,1
Falkville,AL,2,1226,1
Faunsdale,AL,2,53,1
Fayette,AL,2,4523,1
Fayetteville,AL,2,1257,1
Fitzpatrick,AL,2,84,1
Five Points,AL,2,181,1
Flomaton,AL,2,1670,1
Florala,AL,2,1863,1
Florence,AL,2,39855,1
Foley,AL,2,16345,1
Forestdale,AL,2,9716,1
Forkland,AL,2,767,1
Fort Deposit,AL,2,1482,1
Fort Payne,AL,2,14112,1
Fort Rucker,AL,2,4895,1
Franklin,AL,2,243,1
Fredonia,AL,2,385,1
Frisco City,AL,2,1272,1
Fruitdale,AL,2,209,1
Fruithurst,AL,2,266,1
Fulton,AL,2,211,1
Fultondale,AL,2,8733,1
Fyffe,AL,2,1358,1
